"D_X","E850","SH2","SI","SIC","SIN","SIP","SLambda_0","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p_rgh","sourceXI_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.728e-11,0.35558,0.0012801,0.21157,0.0026328,0.047067,0.013812,1694.5,0,3.2522e-12,3.2386e-12,0,14.275,13.341,0.18213,58.015,0.74017,6.3496,5.9342,0.081009,0,0.44526,20.224,2.8793e-07,1.0634e-07,1.0033,1,0.000147,0.0015,0.000147,5e-06
1.728e-11,0.3426,0.0012794,0.21155,0.0026292,0.047071,0.013815,1694.4,0,3.1518e-12,3.4361e-12,0,14.275,13.341,0.18212,58.011,0.74011,6.3494,5.934,0.081006,0,0.44524,20.223,2.8792e-07,1.0631e-07,1.0032,1,0.00015,0.0015,0.00015,5e-06
1.728e-11,0.33081,0.0012785,0.21153,0.0026255,0.047075,0.013817,1694.3,0,3.0197e-12,3.6701e-12,0,14.274,13.34,0.18211,58.007,0.74006,6.3491,5.9338,0.081003,0,0.44523,20.222,2.8791e-07,1.0628e-07,1.0032,1,0.000153,0.0015,0.000153,5e-06
1.728e-11,0.31903,0.0012777,0.2115,0.0026219,0.047079,0.013819,1694.2,0,2.8876e-12,3.9041e-12,0,14.274,13.34,0.1821,58.003,0.74001,6.3489,5.9335,0.081,0,0.44521,20.222,2.879e-07,1.0625e-07,1.0031,1,0.000156,0.0015,0.000156,5e-06
1.728e-11,0.30779,0.0012768,0.21148,0.0026182,0.047083,0.013821,1694.1,0,2.7377e-12,4.1601e-12,0,14.273,13.339,0.1821,57.999,0.73996,6.3486,5.9333,0.080996,0,0.44519,20.221,2.8789e-07,1.0623e-07,1.0031,1,0.000159,0.0015,0.000159,5e-06
1.728e-11,0.29708,0.0012759,0.21146,0.0026145,0.047087,0.013824,1694,0,2.5701e-12,4.4381e-12,0,14.272,13.339,0.18209,57.995,0.7399,6.3483,5.933,0.080993,0,0.44517,20.22,2.8788e-07,1.062e-07,1.003,1,0.000162,0.0015,0.000162,5e-06
1.728e-11,0.28637,0.001275,0.21144,0.0026108,0.047091,0.013826,1693.9,0,2.4024e-12,4.7161e-12,0,14.272,13.338,0.18208,57.99,0.73985,6.3481,5.9328,0.08099,0,0.44515,20.219,2.8787e-07,1.0617e-07,1.0029,1,0.000165,0.0015,0.000165,5e-06
1.728e-11,0.27663,0.001274,0.21141,0.002607,0.047095,0.013828,1693.8,0,2.1969e-12,5.0485e-12,0,14.271,13.338,0.18207,57.986,0.73979,6.3478,5.9325,0.080986,0,0.44513,20.217,2.8786e-07,1.0615e-07,1.0029,1,0.000168,0.0015,0.000168,5e-06
1.728e-11,0.26689,0.001273,0.21139,0.0026032,0.047099,0.013831,1693.7,0,1.9913e-12,5.3809e-12,0,14.271,13.337,0.18207,57.982,0.73974,6.3475,5.9322,0.080982,0,0.44511,20.216,2.8785e-07,1.0612e-07,1.0028,1,0.000171,0.0015,0.000171,5e-06
1.728e-11,0.25759,0.0012719,0.21136,0.0025994,0.047104,0.013833,1693.6,0,1.7644e-12,5.7463e-12,0,14.27,13.336,0.18206,57.977,0.73968,6.3472,5.932,0.080978,0,0.44509,20.215,2.8784e-07,1.0609e-07,1.0027,1,0.000174,0.0015,0.000174,5e-06
1.728e-11,0.24872,0.0012708,0.21134,0.0025956,0.047108,0.013835,1693.5,0,1.5161e-12,6.1449e-12,0,14.269,13.336,0.18205,57.973,0.73963,6.3469,5.9317,0.080975,0,0.44507,20.213,2.8783e-07,1.0607e-07,1.0026,1,0.000177,0.0015,0.000177,5e-06
1.728e-11,0.23986,0.0012697,0.21131,0.0025917,0.047112,0.013838,1693.4,0,1.2678e-12,6.5434e-12,0,14.269,13.335,0.18204,57.968,0.73957,6.3466,5.9314,0.080971,0,0.44505,20.211,2.8782e-07,1.0604e-07,1.0026,1,0.00018,0.0015,0.00018,5e-06
1.728e-11,0.23178,0.0012685,0.21129,0.0025878,0.047116,0.01384,1693.3,0,9.735e-13,7.0242e-12,0,14.268,13.334,0.18203,57.964,0.73951,6.3463,5.9311,0.080966,0,0.44503,20.209,2.8781e-07,1.0602e-07,1.0025,1,0.000183,0.0015,0.000183,5e-06
1.728e-11,0.22371,0.0012673,0.21126,0.0025839,0.04712,0.013842,1693.2,0,6.792e-13,7.5049e-12,0,14.267,13.334,0.18202,57.959,0.73945,6.3459,5.9308,0.080962,0,0.445,20.207,2.878e-07,1.0599e-07,1.0024,1,0.000186,0.0015,0.000186,5e-06
1.728e-11,0.21599,0.0012661,0.21124,0.00258,0.047124,0.013845,1693,0,3.5871e-13,8.0361e-12,0,14.266,13.333,0.18201,57.955,0.73939,6.3456,5.9305,0.080958,0,0.44498,20.205,2.8779e-07,1.0597e-07,1.0024,1,0.000189,0.0015,0.000189,5e-06
1.728e-11,0.20862,0.0012648,0.21121,0.0025761,0.047128,0.013847,1692.9,0,1.2029e-14,8.6177e-12,0,14.265,13.332,0.182,57.95,0.73933,6.3453,5.9301,0.080954,0,0.44496,20.202,2.8777e-07,1.0594e-07,1.0023,1,0.000192,0.0015,0.000192,5e-06
1.728e-11,0.20126,0.0012636,0.21118,0.0025721,0.047133,0.013849,1692.8,0,-3.3466e-13,9.1993e-12,0,14.265,13.332,0.18199,57.945,0.73927,6.3449,5.9298,0.080949,0,0.44493,20.2,2.8776e-07,1.0592e-07,1.0022,1,0.000195,0.0015,0.000195,5e-06
