,0,1,2,3,4,5,6,7,8,9,SSout,SACout,SICout,SH2out,SINout,SIPout,SIout,XPBout,XSout,XIout,time
204,329.68095490795173,310.7880074173447,0.0004963299714203854,0.21236776308770858,87.07350002790108,17.746741906616172,150.576532534768,396.0501448093469,110.85688766271792,101.64464671105306,329.68095490795173,310.7880074173447,0.0004963299714203854,0.21236776308770858,87.07350002790108,17.746741906616172,150.576532534768,396.0501448093469,110.85688766271792,101.64464671105306,0.5106382978723404
205,329.61222376825407,310.80567627690624,0.0004963379317120594,0.22163164613136865,87.07469110274256,17.74695517773473,150.57952039183564,396.0099068557629,110.92642579771051,101.65317002761032,329.61222376825407,310.80567627690624,0.0004963379317120594,0.22163164613136865,87.07469110274256,17.74695517773473,150.57952039183564,396.0099068557629,110.92642579771051,101.65317002761032,0.5131414267834794
206,329.54350199100827,310.82334500792183,0.0004963459098921592,0.23089579529678045,87.07588222499996,17.747168468146416,150.58251012224838,395.96967296955216,110.99594252909341,101.6616986881694,329.54350199100827,310.82334500792183,0.0004963459098921592,0.23089579529678045,87.07588222499996,17.747168468146416,150.58251012224838,395.96967296955216,110.99594252909341,101.6616986881694,0.5156445556946183
207,329.47478957485407,310.8410136101062,0.0004963539059555506,0.24016021034132082,87.07707339463907,17.747381777842087,150.58550172542976,395.92944315030104,111.06543786158034,101.67023269108556,329.47478957485407,310.8410136101062,0.0004963539059555506,0.24016021034132082,87.07707339463907,17.747381777842087,150.58550172542976,395.92944315030104,111.06543786158034,101.67023269108556,0.5181476846057572
208,329.4060865184312,310.85868208317385,0.0004963619198971012,0.24942489102242132,87.07826461162564,17.7475951068126,150.58849520080324,395.889217397596,111.13491179988416,101.67877203471441,329.4060865184312,310.85868208317385,0.0004963619198971012,0.24942489102242132,87.07826461162564,17.7475951068126,150.58849520080324,395.889217397596,111.13491179988416,101.67877203471441,0.5206508135168961
209,329.3373928203795,310.87635042683945,0.0004963699517116781,0.25868983709752424,87.07945587592549,17.747808455048823,150.59149054779243,395.8489957110235,111.20436434871782,101.68731671741158,329.3373928203795,310.87635042683945,0.0004963699517116781,0.25868983709752424,87.07945587592549,17.747808455048823,150.59149054779243,395.8489957110235,111.20436434871782,101.68731671741158,0.523153942428035
210,329.2687084793394,310.89401864081805,0.0004963780013941512,0.2679550483242195,87.08064718750444,17.748021822541613,150.59448776582113,395.8087780901701,111.27379551279168,101.6958667375336,329.2687084793394,310.89401864081805,0.0004963780013941512,0.2679550483242195,87.08064718750444,17.748021822541613,150.59448776582113,395.8087780901701,111.27379551279168,101.6958667375336,0.5256570713391739
211,329.2000334939516,310.9116867248244,0.0004963860689393913,0.27722052446011947,87.0818385463283,17.748235209281837,150.59748685431336,395.7685645346224,111.34320529681602,101.70442209343709,329.2000334939516,310.9116867248244,0.0004963860689393913,0.27722052446011947,87.0818385463283,17.748235209281837,150.59748685431336,395.7685645346224,111.34320529681602,101.70442209343709,0.5281602002503129
212,329.1313678628565,310.9293546785734,0.0004963941543422694,0.28648626526287285,87.08302995236288,17.74844861526037,150.60048781269305,395.7283550439669,111.41259370550064,101.71298278347886,329.1313678628565,310.9293546785734,0.0004963941543422694,0.28648626526287285,87.08302995236288,17.74844861526037,150.60048781269305,395.7283550439669,111.41259370550064,101.71298278347886,0.5306633291614519
213,329.0627115846952,310.9470225017803,0.0004964022575976581,0.295752270490242,87.08422140557403,17.74866204046807,150.60349064038442,395.6881496177903,111.48196074355337,101.72154880601647,329.0627115846952,310.9470225017803,0.0004964022575976581,0.295752270490242,87.08422140557403,17.74866204046807,150.60349064038442,395.6881496177903,111.48196074355337,101.72154880601647,0.5331664580725908
214,328.9940646581086,310.96469019415997,0.0004964103787004312,0.3050185399000056,87.08541290592756,17.748875484895816,150.60649533681175,395.6479482556792,111.5513064156821,101.73012015940748,328.9940646581086,310.96469019415997,0.0004964103787004312,0.3050185399000056,87.08541290592756,17.748875484895816,150.60649533681175,395.6479482556792,111.5513064156821,101.73012015940748,0.5356695869837297
215,328.9254270817381,310.9823577554278,0.0004964185176454634,0.31428507325002525,87.08660445338937,17.74908894853448,150.60950190139943,395.60775095722045,111.62063072659336,101.73869684200994,328.9254270817381,310.9823577554278,0.0004964185176454634,0.31428507325002525,87.08660445338937,17.74908894853448,150.60950190139943,395.60775095722045,111.62063072659336,101.73869684200994,0.5381727158948686
216,328.85679885422536,311.0000251852991,0.0004964266744276307,0.32355187029823923,87.08779604792531,17.749302431374943,150.612510333572,395.5675577220007,111.68993368099243,101.74727885218242,328.85679885422536,311.0000251852991,0.0004964266744276307,0.32355187029823923,87.08779604792531,17.749302431374943,150.612510333572,395.5675577220007,111.68993368099243,101.74727885218242,0.5406758448060075
217,328.788179974212,311.0176924834891,0.0004964348490418102,0.33281893080262415,87.08898768950121,17.74951593340808,150.61552063275425,395.5273685496068,111.75921528358418,101.75586618828363,328.788179974212,311.0176924834891,0.0004964348490418102,0.33281893080262415,87.08898768950121,17.74951593340808,150.61552063275425,395.5273685496068,111.75921528358418,101.75586618828363,0.5431789737171464
218,328.71957044033985,311.03535964971314,0.0004964430414828793,0.3420862545212042,87.09017937808295,17.74972945462477,150.61853279837084,395.48718343962554,111.82847553907285,101.76445884867258,328.71957044033985,311.03535964971314,0.0004964430414828793,0.3420862545212042,87.09017937808295,17.74972945462477,150.61853279837084,395.48718343962554,111.82847553907285,101.76445884867258,0.5456821026282854
219,328.65097025125124,311.0530266836871,0.0004964512517457176,0.3513538412121172,87.09137111363646,17.749942995015896,150.62154682984675,395.4470023916438,111.89771445216071,101.77305683170896,328.65097025125124,311.0530266836871,0.0004964512517457176,0.3513538412121172,87.09137111363646,17.749942995015896,150.62154682984675,395.4470023916438,111.89771445216071,101.77305683170896,0.5481852315394243
220,328.58237940558854,311.0706935851265,0.0004964594798252058,0.360621690633536,87.09256289612759,17.750156554572342,150.62456272660705,395.4068254052487,111.96693202754969,101.78166013575263,328.58237940558854,311.0706935851265,0.0004964594798252058,0.360621690633536,87.09256289612759,17.750156554572342,150.62456272660705,395.4068254052487,111.96693202754969,101.78166013575263,0.5506883604505632
221,328.51379790199434,311.08836035374674,0.000496467725716225,0.3698898025436818,87.09375472552225,17.750370133285003,150.62758048807686,395.36665248002697,112.03612826994099,101.79026875916378,328.51379790199434,311.08836035374674,0.000496467725716225,0.3698898025436818,87.09375472552225,17.750370133285003,150.62758048807686,395.36665248002697,112.03612826994099,101.79026875916378,0.5531914893617021
222,328.44522573911144,311.106026989264,0.0004964759894136579,0.37915817670086455,87.09494660178638,17.750583731144772,150.63060011368157,395.3264836155658,112.10530318403441,101.79888270030305,328.44522573911144,311.106026989264,0.0004964759894136579,0.37915817670086455,87.09494660178638,17.750583731144772,150.63060011368157,395.3264836155658,112.10530318403441,101.79888270030305,0.5556946182728411
223,328.3766629155829,311.1236934913939,0.000496484270912388,0.38842681286343844,87.09613852488587,17.75079734814253,150.63362160284655,395.2863188114522,112.17445677452922,101.80750195753139,328.3766629155829,311.1236934913939,0.000496484270912388,0.38842681286343844,87.09613852488587,17.75079734814253,150.63362160284655,395.2863188114522,112.17445677452922,101.80750195753139,0.55819774718398
224,328.30810943005207,311.1413598598525,0.0004964925702073001,0.39769571078982463,87.09733049478669,17.751010984269175,150.63664495499737,395.2461580672732,112.24358904612362,101.81612652921011,328.30810943005207,311.1413598598525,0.0004964925702073001,0.39769571078982463,87.09733049478669,17.751010984269175,150.63664495499737,395.2461580672732,112.24358904612362,101.81612652921011,0.5607008760951189
225,328.23956528116213,311.1590260943556,0.00049650088729328,0.4069648702385028,87.09852251145473,17.751224639515602,150.63967016955968,395.20600138261597,112.312700003515,101.82475641370084,328.23956528116213,311.1590260943556,0.00049650088729328,0.4069648702385028,87.09852251145473,17.751224639515602,150.63967016955968,395.20600138261597,112.312700003515,101.82475641370084,0.5632040050062579
