"D_X","E850","SI","SLambda_0","Su","U:0","U:1","U:2","XI","XI_VS","XPB","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","sourceXI_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.728e-11,0.030957,0.21427,1604.2,0,-5.1022e-12,9.5743e-12,0,6.9684,6.5125,65.724,0.83852,6.0633,5.6667,0.077357,0,2.7491e-07,1.0048,1,0.000108,0.0015,0.000108,5e-06
1.728e-11,0.031941,0.21426,1604.2,0,-5.2305e-12,1.0007e-11,0,6.9681,6.5123,65.725,0.83853,6.0631,5.6665,0.077354,0,2.749e-07,1.0048,1,0.000111,0.0015,0.000111,5e-06
1.728e-11,0.032965,0.21425,1604.2,0,-5.357e-12,1.0454e-11,0,6.9679,6.512,65.726,0.83854,6.0629,5.6663,0.077351,0,2.7489e-07,1.0048,1,0.000114,0.0015,0.000114,5e-06
1.728e-11,0.03403,0.21424,1604.2,0,-5.4817e-12,1.0916e-11,0,6.9676,6.5118,65.727,0.83855,6.0627,5.666,0.077348,0,2.7488e-07,1.0048,1,0.000117,0.0015,0.000117,5e-06
1.728e-11,0.035095,0.21423,1604.2,0,-5.6065e-12,1.1378e-11,0,6.9673,6.5115,65.728,0.83856,6.0624,5.6658,0.077345,0,2.7487e-07,1.0048,1,0.00012,0.0015,0.00012,5e-06
1.728e-11,0.036248,0.21422,1604.2,0,-5.7276e-12,1.1874e-11,0,6.967,6.5112,65.729,0.83858,6.0622,5.6656,0.077342,0,2.7486e-07,1.0048,1,0.000123,0.0015,0.000123,5e-06
1.728e-11,0.037401,0.21421,1604.2,0,-5.8487e-12,1.237e-11,0,6.9667,6.511,65.73,0.83859,6.062,5.6654,0.077339,0,2.7485e-07,1.0048,1,0.000126,0.0015,0.000126,5e-06
1.728e-11,0.038601,0.2142,1604.2,0,-5.9678e-12,1.2886e-11,0,6.9664,6.5107,65.731,0.8386,6.0617,5.6651,0.077336,0,2.7484e-07,1.0048,1,0.000129,0.0015,0.000129,5e-06
1.728e-11,0.039849,0.21419,1604.2,0,-6.0851e-12,1.342e-11,0,6.9661,6.5104,65.732,0.83861,6.0614,5.6649,0.077333,0,2.7483e-07,1.0048,1,0.000132,0.0015,0.000132,5e-06
1.728e-11,0.041097,0.21418,1604.2,0,-6.2024e-12,1.3955e-11,0,6.9658,6.5101,65.733,0.83862,6.0612,5.6647,0.077329,0,2.7482e-07,1.0048,1,0.000135,0.0015,0.000135,5e-06
1.728e-11,0.042448,0.21417,1604.2,0,-6.3158e-12,1.4532e-11,0,6.9655,6.5098,65.734,0.83864,6.0609,5.6644,0.077326,0,2.748e-07,1.0048,1,0.000138,0.0015,0.000138,5e-06
1.728e-11,0.043799,0.21416,1604.2,0,-6.4292e-12,1.511e-11,0,6.9652,6.5095,65.735,0.83865,6.0606,5.6641,0.077322,0,2.7479e-07,1.0048,1,0.000141,0.0015,0.000141,5e-06
1.728e-11,0.045206,0.21415,1604.2,0,-6.5406e-12,1.5711e-11,0,6.9648,6.5092,65.736,0.83866,6.0604,5.6639,0.077319,0,2.7478e-07,1.0048,1,0.000144,0.0015,0.000144,5e-06
1.728e-11,0.046668,0.21414,1604.2,0,-6.6499e-12,1.6336e-11,0,6.9645,6.5089,65.737,0.83868,6.0601,5.6636,0.077315,0,2.7477e-07,1.0048,1,0.000147,0.0015,0.000147,5e-06
1.728e-11,0.048131,0.21413,1604.2,0,-6.7593e-12,1.6961e-11,0,6.9641,6.5085,65.738,0.83869,6.0598,5.6633,0.077312,0,2.7475e-07,1.0049,1,0.00015,0.0015,0.00015,5e-06
1.728e-11,0.049715,0.21412,1604.2,0,-6.8646e-12,1.7639e-11,0,6.9638,6.5082,65.739,0.83871,6.0595,5.6631,0.077308,0,2.7474e-07,1.0049,1,0.000153,0.0015,0.000153,5e-06
1.728e-11,0.051298,0.2141,1604.2,0,-6.9699e-12,1.8316e-11,0,6.9634,6.5079,65.74,0.83872,6.0592,5.6628,0.077304,0,2.7473e-07,1.0049,1,0.000156,0.0015,0.000156,5e-06
1.728e-11,0.052948,0.21409,1604.2,0,-7.0731e-12,1.9023e-11,0,6.963,6.5075,65.741,0.83874,6.0589,5.6625,0.0773,0,2.7471e-07,1.0049,1,0.000159,0.0015,0.000159,5e-06
1.728e-11,0.054663,0.21408,1604.2,0,-7.1743e-12,1.9757e-11,0,6.9627,6.5072,65.742,0.83875,6.0586,5.6622,0.077296,0,2.747e-07,1.0049,1,0.000162,0.0015,0.000162,5e-06
1.728e-11,0.056378,0.21407,1604.2,0,-7.2754e-12,2.0492e-11,0,6.9623,6.5068,65.744,0.83877,6.0582,5.6619,0.077292,0,2.7468e-07,1.0049,1,0.000165,0.0015,0.000165,5e-06
1.728e-11,0.058236,0.21405,1604.2,0,-7.3724e-12,2.1288e-11,0,6.9619,6.5064,65.745,0.83878,6.0579,5.6616,0.077287,0,2.7467e-07,1.0049,1,0.000168,0.0015,0.000168,5e-06
1.728e-11,0.060093,0.21404,1604.2,0,-7.4694e-12,2.2085e-11,0,6.9615,6.5061,65.746,0.8388,6.0576,5.6613,0.077283,0,2.7465e-07,1.0049,1,0.000171,0.0015,0.000171,5e-06
