"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0.000969,0.0015,0.000969,5e-06
1,0.000972,0.0015,0.000972,5e-06
1,0.000975,0.0015,0.000975,5e-06
1,0.000978,0.0015,0.000978,5e-06
1,0.000981,0.0015,0.000981,5e-06
1,0.000984,0.0015,0.000984,5e-06
1,0.000987,0.0015,0.000987,5e-06
1,0.00099,0.0015,0.00099,5e-06
1,0.000993,0.0015,0.000993,5e-06
1,0.000996,0.0015,0.000996,5e-06
1,0.000999,0.0015,0.000999,5e-06
1,0.001002,0.0015,0.001002,5e-06
1,0.001005,0.0015,0.001005,5e-06
1,0.001008,0.0015,0.001008,5e-06
1,0.001011,0.0015,0.001011,5e-06
1,0.001014,0.0015,0.001014,5e-06
1,0.001017,0.0015,0.001017,5e-06
1,0.00102,0.0015,0.00102,5e-06
1,0.001023,0.0015,0.001023,5e-06
1,0.001026,0.0015,0.001026,5e-06
1,0.001029,0.0015,0.001029,5e-06
1,0.001032,0.0015,0.001032,5e-06
1,0.001035,0.0015,0.001035,5e-06
1,0.001038,0.0015,0.001038,5e-06
1,0.001041,0.0015,0.001041,5e-06
1,0.001044,0.0015,0.001044,5e-06
1,0.001047,0.0015,0.001047,5e-06
1,0.00105,0.0015,0.00105,5e-06
1,0.001053,0.0015,0.001053,5e-06
1,0.001056,0.0015,0.001056,5e-06
1,0.001059,0.0015,0.001059,5e-06
1,0.001062,0.0015,0.001062,5e-06
1,0.001065,0.0015,0.001065,5e-06
1,0.001068,0.0015,0.001068,5e-06
1,0.001071,0.0015,0.001071,5e-06
1,0.001074,0.0015,0.001074,5e-06
1,0.001077,0.0015,0.001077,5e-06
1,0.00108,0.0015,0.00108,5e-06
1,0.001083,0.0015,0.001083,5e-06
1,0.001086,0.0015,0.001086,5e-06
1,0.001089,0.0015,0.001089,5e-06
1,0.001092,0.0015,0.001092,5e-06
1,0.001095,0.0015,0.001095,5e-06
1,0.001098,0.0015,0.001098,5e-06
1,0.001101,0.0015,0.001101,5e-06
1,0.001104,0.0015,0.001104,5e-06
1,0.001107,0.0015,0.001107,5e-06
1,0.00111,0.0015,0.00111,5e-06
1,0.001113,0.0015,0.001113,5e-06
1,0.001116,0.0015,0.001116,5e-06
1,0.001119,0.0015,0.001119,5e-06
1,0.001122,0.0015,0.001122,5e-06
1,0.001125,0.0015,0.001125,5e-06
1,0.001128,0.0015,0.001128,5e-06
1,0.001131,0.0015,0.001131,5e-06
1,0.001134,0.0015,0.001134,5e-06
1,0.001137,0.0015,0.001137,5e-06
1,0.00114,0.0015,0.00114,5e-06
1,0.001143,0.0015,0.001143,5e-06
1,0.001146,0.0015,0.001146,5e-06
1,0.001149,0.0015,0.001149,5e-06
1,0.001152,0.0015,0.001152,5e-06
1,0.001155,0.0015,0.001155,5e-06
1,0.001158,0.0015,0.001158,5e-06
1,0.001161,0.0015,0.001161,5e-06
1,0.001164,0.0015,0.001164,5e-06
1,0.001167,0.0015,0.001167,5e-06
1,0.00117,0.0015,0.00117,5e-06
1,0.001173,0.0015,0.001173,5e-06
1,0.001176,0.0015,0.001176,5e-06
1,0.001179,0.0015,0.001179,5e-06
1,0.001182,0.0015,0.001182,5e-06
1,0.001185,0.0015,0.001185,5e-06
1,0.001188,0.0015,0.001188,5e-06
1,0.001191,0.0015,0.001191,5e-06
1,0.001194,0.0015,0.001194,5e-06
1,0.001197,0.0015,0.001197,5e-06
1,0.0012,0.0015,0.0012,5e-06
1,0.001203,0.0015,0.001203,5e-06
1,0.001206,0.0015,0.001206,5e-06
1,0.001209,0.0015,0.001209,5e-06
1,0.001212,0.0015,0.001212,5e-06
1,0.001215,0.0015,0.001215,5e-06
1,0.001218,0.0015,0.001218,5e-06
1,0.001221,0.0015,0.001221,5e-06
1,0.001224,0.0015,0.001224,5e-06
1,0.001227,0.0015,0.001227,5e-06
1,0.00123,0.0015,0.00123,5e-06
1,0.001233,0.0015,0.001233,5e-06
1,0.001236,0.0015,0.001236,5e-06
1,0.001239,0.0015,0.001239,5e-06
1,0.001242,0.0015,0.001242,5e-06
1,0.001245,0.0015,0.001245,5e-06
1,0.001248,0.0015,0.001248,5e-06
1,0.001251,0.0015,0.001251,5e-06
1,0.001254,0.0015,0.001254,5e-06
1,0.001257,0.0015,0.001257,5e-06
1,0.00126,0.0015,0.00126,5e-06
1,0.001263,0.0015,0.001263,5e-06
1,0.001266,0.0015,0.001266,5e-06
1,0.001269,0.0015,0.001269,5e-06
1,0.001272,0.0015,0.001272,5e-06
1,0.001275,0.0015,0.001275,5e-06
1,0.001278,0.0015,0.001278,5e-06
1,0.001281,0.0015,0.001281,5e-06
1,0.001284,0.0015,0.001284,5e-06
1,0.001287,0.0015,0.001287,5e-06
1,0.00129,0.0015,0.00129,5e-06
1,0.001293,0.0015,0.001293,5e-06
1,0.001296,0.0015,0.001296,5e-06
1,0.001299,0.0015,0.001299,5e-06
1,0.001302,0.0015,0.001302,5e-06
1,0.001305,0.0015,0.001305,5e-06
1,0.001308,0.0015,0.001308,5e-06
1,0.001311,0.0015,0.001311,5e-06
1,0.001314,0.0015,0.001314,5e-06
1,0.001317,0.0015,0.001317,5e-06
1,0.00132,0.0015,0.00132,5e-06
1,0.001323,0.0015,0.001323,5e-06
1,0.001326,0.0015,0.001326,5e-06
1,0.001329,0.0015,0.001329,5e-06
1,0.001332,0.0015,0.001332,5e-06
