"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6915.9,1.6e-10,7.3331,0.23477,0,0.24926,0.015758,0.029631,0.0054954,1623.8,0.031499,0,8.3824e-12,6.1544e-13,0,7.0236,6.5641,0.089608,66.067,37.116,0.84289,6.4437,6.0222,0.08221,0,0.26143,20.091,20.894,2.9215e-07,0.82286,9.5238e-06,2.0343e-07,1.0147,1,8.1e-05,0.0015,8.1e-05,5e-06
6915.7,1.6e-10,7.0268,0.23547,0,0.24925,0.015748,0.029646,0.005504,1623.8,0.031571,0,8.6094e-12,6.6171e-13,0,7.0236,6.5641,0.089608,66.065,37.115,0.84287,6.4437,6.0222,0.08221,0,0.26143,20.062,20.894,2.9214e-07,0.8032,9.2963e-06,2.0341e-07,1.0147,1,8.4e-05,0.0015,8.4e-05,5e-06
6915.6,1.6e-10,6.7391,0.23618,0,0.24924,0.015737,0.029662,0.005513,1623.7,0.031645,0,8.8288e-12,7.1002e-13,0,7.0236,6.5641,0.089607,66.064,37.115,0.84285,6.4437,6.0222,0.08221,0,0.26142,20.032,20.894,2.9214e-07,0.78379,9.0716e-06,2.0339e-07,1.0147,1,8.7e-05,0.0015,8.7e-05,5e-06
6915.4,1.6e-10,6.4513,0.2369,0,0.24922,0.015726,0.029677,0.0055219,1623.7,0.03172,0,9.0482e-12,7.5834e-13,0,7.0235,6.5641,0.089607,66.062,37.114,0.84283,6.4437,6.0221,0.082209,0,0.26142,20.002,20.894,2.9214e-07,0.76438,8.8469e-06,2.0338e-07,1.0146,1,9e-05,0.0015,9e-05,5e-06
6915.2,1.6e-10,6.1954,0.23766,0,0.24921,0.015715,0.029694,0.0055313,1623.7,0.031799,0,9.2535e-12,8.0968e-13,0,7.0235,6.564,0.089607,66.061,37.113,0.84281,6.4437,6.0221,0.082209,0,0.26142,19.972,20.894,2.9214e-07,0.7455,8.6284e-06,2.0336e-07,1.0146,1,9.3e-05,0.0015,9.3e-05,5e-06
6915.1,1.6e-10,5.9396,0.23842,0,0.2492,0.015704,0.029711,0.0055408,1623.6,0.031879,0,9.4589e-12,8.6103e-13,0,7.0235,6.564,0.089607,66.059,37.112,0.84279,6.4437,6.0221,0.082209,0,0.26142,19.943,20.894,2.9214e-07,0.72662,8.4099e-06,2.0334e-07,1.0146,1,9.6e-05,0.0015,9.6e-05,5e-06
6914.9,1.6e-10,5.6976,0.2392,0,0.24918,0.015692,0.029728,0.0055505,1623.6,0.031961,0,9.658e-12,9.1414e-13,0,7.0235,6.564,0.089607,66.058,37.111,0.84277,6.4436,6.0221,0.082209,0,0.26142,19.913,20.894,2.9214e-07,0.70803,8.1948e-06,2.0332e-07,1.0146,1,9.9e-05,0.0015,9.9e-05,5e-06
6914.7,1.6e-10,5.4696,0.24,0,0.24917,0.01568,0.029745,0.0055604,1623.6,0.032046,0,9.8509e-12,9.6901e-13,0,7.0235,6.564,0.089606,66.056,37.11,0.84275,6.4436,6.0221,0.082209,0,0.26142,19.883,20.894,2.9214e-07,0.68974,7.9831e-06,2.033e-07,1.0146,1,0.000102,0.0015,0.000102,5e-06
6914.5,1.6e-10,5.2415,0.2408,0,0.24915,0.015668,0.029763,0.0055704,1623.5,0.032131,0,1.0044e-11,1.0239e-12,0,7.0234,6.564,0.089606,66.054,37.109,0.84273,6.4436,6.0221,0.082208,0,0.26142,19.853,20.894,2.9214e-07,0.67145,7.7714e-06,2.0328e-07,1.0145,1,0.000105,0.0015,0.000105,5e-06
6914.4,1.6e-10,5.0379,0.24164,0,0.24914,0.015656,0.029781,0.0055808,1623.5,0.03222,0,1.0225e-11,1.0812e-12,0,7.0234,6.564,0.089606,66.052,37.108,0.84271,6.4436,6.022,0.082208,0,0.26142,19.823,20.893,2.9214e-07,0.65379,7.567e-06,2.0326e-07,1.0145,1,0.000108,0.0015,0.000108,5e-06
