"D_X","E850","SAC","SI","SIC","SIP","SS","XI_VS","XI_alpha","XPB","XPB_VS","XS_VS","alpha.water","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.728e-11,0.54467,0.74918,0.21503,0.0028004,0.013805,0.15839,14.633,0.19976,56.709,31.859,6.0146,0,18.933,20.063,2.9179e-07,7.4791e-07,7.9935e-08,1.0054,1,0.000114,0.0015,0.000114,5e-06
1.728e-11,0.52515,0.74933,0.21501,0.0027972,0.013807,0.15844,14.633,0.19976,56.706,31.857,6.0145,0,18.904,20.063,2.9179e-07,7.1106e-07,7.9904e-08,1.0053,1,0.000117,0.0015,0.000117,5e-06
1.728e-11,0.50563,0.74949,0.215,0.002794,0.013809,0.15849,14.633,0.19976,56.702,31.855,6.0144,0,18.874,20.063,2.9178e-07,6.7421e-07,7.9874e-08,1.0053,1,0.00012,0.0015,0.00012,5e-06
1.728e-11,0.48798,0.74965,0.21498,0.0027907,0.013811,0.15854,14.633,0.19975,56.699,31.853,6.0142,0,18.844,20.063,2.9178e-07,6.4056e-07,7.9843e-08,1.0052,1,0.000123,0.0015,0.000123,5e-06
1.728e-11,0.47033,0.74981,0.21496,0.0027875,0.013813,0.15859,14.632,0.19975,56.696,31.852,6.0141,0,18.814,20.063,2.9177e-07,6.069e-07,7.9812e-08,1.0052,1,0.000126,0.0015,0.000126,5e-06
1.728e-11,0.45351,0.74997,0.21494,0.0027841,0.013815,0.15865,14.632,0.19974,56.692,31.85,6.014,0,18.785,20.063,2.9176e-07,5.747e-07,7.9781e-08,1.0051,1,0.000129,0.0015,0.000129,5e-06
1.728e-11,0.43752,0.75014,0.21492,0.0027807,0.013818,0.1587,14.632,0.19974,56.689,31.848,6.0139,0,18.755,20.063,2.9176e-07,5.4395e-07,7.975e-08,1.0051,1,0.000132,0.0015,0.000132,5e-06
1.728e-11,0.42154,0.7503,0.21491,0.0027774,0.01382,0.15876,14.631,0.19974,56.686,31.846,6.0137,0,18.725,20.063,2.9175e-07,5.132e-07,7.9719e-08,1.005,1,0.000135,0.0015,0.000135,5e-06
1.728e-11,0.40704,0.75047,0.21489,0.0027739,0.013822,0.15881,14.631,0.19973,56.682,31.844,6.0136,0,18.696,20.063,2.9174e-07,4.8509e-07,7.9688e-08,1.005,1,0.000138,0.0015,0.000138,5e-06
1.728e-11,0.39254,0.75063,0.21487,0.0027704,0.013824,0.15887,14.631,0.19973,56.679,31.842,6.0135,0,18.666,20.063,2.9173e-07,4.5698e-07,7.9657e-08,1.0049,1,0.000141,0.0015,0.000141,5e-06
