"ALambda_0","D_X","E850","SAC","SI","SIC","SIP","SLambda_0","SS","U:0","U:1","U:2","XI_VS","XI_alpha","XPB","XPB_VS","XS","XS_VS","alpha.water","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6272.5,1.728e-11,0.49767,0.7546,0.2038,0.0022001,0.013837,1665.7,0.17702,-2.4433e-11,6.1656e-13,0,13.51,0.18443,59.921,33.663,4.0776,3.8108,0,19.495,20.654,1.8476e-07,6.8471e-07,3.7009e-07,1.0009,1,0.000117,0.0015,0.000117,5e-06
6272,1.728e-11,0.47857,0.75477,0.20379,0.0021968,0.013839,1665.5,0.17708,-2.3839e-11,1.3854e-12,0,13.509,0.18442,59.916,33.661,4.0773,3.8106,0,19.491,20.68,1.8475e-07,6.4682e-07,3.7007e-07,1.0009,1,0.00012,0.0015,0.00012,5e-06
6271.4,1.728e-11,0.46135,0.75493,0.20378,0.0021935,0.013841,1665.4,0.17714,-2.2458e-11,2.4771e-12,0,13.508,0.18441,59.91,33.658,4.077,3.8103,0,19.489,20.707,1.8475e-07,6.1232e-07,3.7004e-07,1.0008,1,0.000123,0.0015,0.000123,5e-06
6270.9,1.728e-11,0.44412,0.7551,0.20376,0.0021902,0.013844,1665.3,0.1772,-2.1078e-11,3.5689e-12,0,13.507,0.18439,59.905,33.655,4.0767,3.81,0,19.486,20.735,1.8474e-07,5.7781e-07,3.7002e-07,1.0007,1,0.000126,0.0015,0.000126,5e-06
6270.3,1.728e-11,0.42773,0.75527,0.20375,0.0021868,0.013846,1665.1,0.17726,-1.9195e-11,4.9517e-12,0,13.506,0.18438,59.899,33.651,4.0764,3.8097,0,19.481,20.759,1.8474e-07,5.4485e-07,3.7e-07,1.0006,1,0.000129,0.0015,0.000129,5e-06
6269.6,1.728e-11,0.41218,0.75544,0.20374,0.0021834,0.013848,1665,0.17732,-1.6808e-11,6.6255e-12,0,13.505,0.18436,59.894,33.648,4.0761,3.8094,0,19.473,20.781,1.8473e-07,5.1342e-07,3.6997e-07,1.0005,1,0.000132,0.0015,0.000132,5e-06
6269,1.728e-11,0.39662,0.7556,0.20373,0.00218,0.01385,1664.8,0.17738,-1.4422e-11,8.2993e-12,0,13.504,0.18435,59.888,33.645,4.0757,3.8091,0,19.466,20.803,1.8472e-07,4.8199e-07,3.6995e-07,1.0004,1,0.000135,0.0015,0.000135,5e-06
6268.4,1.728e-11,0.38256,0.75578,0.20372,0.0021765,0.013853,1664.6,0.17745,-1.0823e-11,1.1118e-11,0,13.503,0.18433,59.881,33.641,4.0754,3.8087,1.1965e-05,19.437,20.804,1.8472e-07,4.5336e-07,3.6993e-07,1.0003,1,0.000138,0.0015,0.000138,5e-06
6267.7,1.728e-11,0.3685,0.75595,0.2037,0.002173,0.013855,1664.5,0.17751,-7.2248e-12,1.3936e-11,0,13.502,0.18431,59.875,33.638,4.075,3.8084,2.3929e-05,19.408,20.805,1.8471e-07,4.2472e-07,3.699e-07,1.0002,1,0.000141,0.0015,0.000141,5e-06
6267,1.6422e-11,0.3551,0.75612,0.20369,0.0021695,0.013857,1664.3,0.17758,-3.2178e-12,1.808e-11,0,13.5,0.1843,59.868,33.634,4.0746,3.808,6.5974e-05,19.343,20.77,1.8468e-07,3.973e-07,3.6982e-07,1.0001,1,0.000144,0.0015,0.000144,5e-06
6266.1,1.4705e-11,0.34236,0.7563,0.20368,0.0021659,0.013859,1664.1,0.17765,1.1973e-12,2.355e-11,0,13.499,0.18427,59.86,33.629,4.0741,3.8075,0.0001381,19.241,20.698,1.8463e-07,3.7108e-07,3.6967e-07,0.99996,1,0.000147,0.0015,0.000147,5e-06
6265.3,1.2988e-11,0.32962,0.75647,0.20367,0.0021624,0.013862,1663.9,0.17771,5.6125e-12,2.902e-11,0,13.497,0.18425,59.852,33.625,4.0736,3.8071,0.00021022,19.139,20.626,1.8458e-07,3.4487e-07,3.6953e-07,0.99983,1,0.00015,0.0015,0.00015,5e-06
6256.7,9.5356e-12,0.31816,0.75665,0.20365,0.0021587,0.013864,1661.7,0.17778,9.385e-12,3.9502e-11,0,13.481,0.18403,59.77,33.579,4.0687,3.8025,0.001527,18.812,20.328,1.8413e-07,3.2052e-07,3.6839e-07,0.9985,1,0.000153,0.0015,0.000153,5e-06
